รหัสเขต,ชื่อเขต,ความมั่นคงและความปลอดภัย,ศักยภาพด้านสาธารณสุข,ศักยภาพด้านการศึกษา,คุณภาพสิ่งแวดล้อม,ความพร้อมของโครงสร้างพื้นฐาน,Rank
1001,เขตพระนคร,84.33352747,100,30.55555556,49.10714286,43,33
1002,เขตดุสิต,90.27722772,100,41.66666667,19.96753247,33,14
1003,เขตหนองจอก,72.05969715,0,100,7.711038961,3,2
1004,เขตบางรัก,86.23461464,100,11.11111111,12.82467532,36,39
1005,เขตบางเขน,64.42079208,0,13.88888889,22.24025974,47,7
1006,เขตบางกะปิ,64.02154921,100,33.33333333,9.415584416,24,3
1007,เขตปทุมวัน,56.1320132,100,27.77777778,34.41558442,67,35
1008,เขตป้อมปราบศัตรูพ่าย,96.70394098,0,8.333333333,5.681818182,23,49
1009,เขตพระโขนง,74.32255873,0,5.555555556,3.977272727,21,45
1010,เขตมีนบุรี,77.25664919,0,33.33333333,41.55844156,15,11
1011,เขตลาดกระบัง,57.33973986,0,55.55555556,15.42207792,17,8
1012,เขตยานนาวา,73.66365754,100,11.11111111,5.113636364,44,18
1013,เขตสัมพันธวงศ์,99.21568627,0,5.555555556,6.25,10,50
1014,เขตพญาไท,79.64822365,100,0,5.113636364,27,30
1015,เขตธนบุรี,66.27868375,100,47.22222222,6.818181818,19,12
1016,เขตบางกอกใหญ่,92.68976898,0,13.88888889,6.818181818,22,47
1017,เขตห้วยขวาง,48.86895748,0,2.777777778,12.25649351,54,41
1018,เขตคลองสาน,93.63851679,0,13.88888889,6.25,24,46
1019,เขตตลิ่งชัน,82.84333139,0,38.88888889,14.52922078,8,24
1020,เขตบางกอกน้อย,82.0206756,0,36.11111111,21.1038961,12,25
1021,เขตบางขุนเทียน,11.9009901,0,44.44444444,9.415584416,9,27
1022,เขตภาษีเจริญ,70.15511551,0,33.33333333,7.386363636,19,22
1023,เขตหนองแขม,67.56853038,0,16.66666667,15.66558442,5,20
1024,เขตราษฎร์บูรณะ,72.25247525,0,11.11111111,6.25,8,48
1025,เขตบางพลัด,78.89681615,0,27.77777778,14.28571429,20,32
1026,เขตดินแดง,65.08338187,0,8.333333333,12.25649351,33,31
1027,เขตบึงกุ่ม,55.38953601,100,16.66666667,17.12662338,12,6
1028,เขตสาทร,89.06746263,100,5.555555556,12.25649351,36,19
1029,เขตบางซื่อ,48.37905261,0,19.44444444,19.39935065,30,29
1030,เขตจตุจักร,47.43379926,100,25,54.54545455,58,1
1031,เขตบางคอแหลม,92.1980198,0,13.88888889,12.82467532,16,38
1032,เขตประเวศ,57.40331974,0,44.44444444,29.70779221,24,5
1033,เขตคลองเตย,26.8627451,0,8.333333333,45.86038961,31,42
1034,เขตสวนหลวง,67.45661037,0,22.22222222,50,29,15
1035,เขตจอมทอง,65.81236653,0,25,13.96103896,10,21
1036,เขตดอนเมือง,76.17035527,0,11.11111111,25.97402597,21,13
1037,เขตราชเทวี,87.1181324,0,5.555555556,40.82792208,43,37
1038,เขตลาดพร้าว,41.15346535,100,11.11111111,11.12012987,13,16
1039,เขตวัฒนา,51.97515046,0,19.44444444,11.68831169,55,36
1040,เขตบางแค,58.63473112,0,27.77777778,22.24025974,19,10
1041,เขตหลักสี่,79.46563774,0,16.66666667,29.87012987,20,26
1042,เขตสายไหม,59.68219763,0,22.22222222,17.12662338,18,9
1043,เขตคันนายาว,76.3053776,0,0,2.272727273,20,44
1044,เขตสะพานสูง,82.55241701,0,8.333333333,2.272727273,6,43
1045,เขตวังทองหลาง,50.70122306,0,5.555555556,53.40909091,24,28
1046,เขตคลองสามวา,74.26810328,0,44.44444444,15.99025974,8,4
1047,เขตบางนา,52.22490778,100,19.44444444,3.977272727,28,17
1048,เขตทวีวัฒนา,89.82032615,0,19.44444444,7.954545455,7,40
1049,เขตทุ่งครุ,83.74432149,0,19.44444444,13.39285714,8,23
1050,เขตบางบอน,75.64356436,0,16.66666667,15.0974026,8,34